"NAM"	"DAT"	"PERIOD"	"КАТО(по каталогу)"	"LКАТО(по каталогу)"	"СПТМ (по каталогу)"	"LСПТМ (по каталогу)"	"VAL"
"Число зарегистрированных браков(Человек)"	"2006 год"	"200612"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"11 767"
"Число зарегистрированных браков(Человек)"	"2004 год"	"200412"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"10 185"
"Число зарегистрированных браков(Человек)"	"2016 год"	"201612"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"10 748"
"Число зарегистрированных браков(Человек)"	"2010 год"	"201012"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"12 194"
"Число зарегистрированных браков(Человек)"	"2015 год"	"201512"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"11 481"
"Число зарегистрированных браков(Человек)"	"2013 год"	"201312"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"13 117"
"Число зарегистрированных браков(Человек)"	"2014 год"	"201412"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"12 344"
"Число зарегистрированных браков(Человек)"	"2012 год"	"201212"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"13 100"
"Число зарегистрированных браков(Человек)"	"2017 год"	"201712"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"10 973"
"Число зарегистрированных браков(Человек)"	"2022 год"	"202212"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"7 876"
"Число зарегистрированных браков(Человек)"	"2021 год"	"202112"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"9 891"
"Число зарегистрированных браков(Человек)"	"2020 год"	"202012"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"9 401"
"Число зарегистрированных браков(Человек)"	"2023 год"	"202312"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"7 511"
"Число зарегистрированных браков(Человек)"	"2024 год"	"202412"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"7 544"
"Число зарегистрированных браков(Человек)"	"2019 год"	"201912"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"4 772"
"Число зарегистрированных браков(Человек)"	"2018 год"	"201812"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"4 780"
"Число зарегистрированных браков(Человек)"	"2009 год"	"200912"	"АКМОЛИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"5 995"
